id,iq_folder,environment,obstacles,distance_m,drone_freq_mhz,detections_mhz,matched_mhz,spurious_mhz,tp,fn,fp_count,log_dir_exists
1,sweep_20260407_183603,indoors_1,none,0,none,,,,0,0,0,1
2,sweep_20260407_183747,indoors_1,none,0,none,,,,0,0,0,1
3,sweep_20260407_183646,indoors_1,none,0,none,,,,0,0,0,1
4,sweep_20260407_183847,indoors_1,none,0,none,,,,0,0,0,1
5,sweep_20260407_183944,indoors_1,none,0,none,,,,0,0,0,1
6,sweep_20260407_184542,indoors_1,none,1.5,5840,763.0 5840.5,5840.5,763,1,0,1,1
7,sweep_20260407_184609,indoors_1,none,1.5,5840,763.1 5839.2,5839.2,763.1,1,0,1,1
8,sweep_20260407_184635,indoors_1,none,1.5,5840,762.4 5839.5,5839.5,762.4,1,0,1,1
9,sweep_20260407_184702,indoors_1,none,1.5,5840,763.1 5840.2,5840.2,763.1,1,0,1,1
10,sweep_20260407_184730,indoors_1,none,1.5,5840,763.3 5840.0,5840,763.3,1,0,1,1
11,sweep_20260407_193518,indoors_1,panel_wall,2,5840,5839.3,5839.3,,1,0,0,1
12,sweep_20260407_193545,indoors_1,panel_wall,2,5840,,,,0,1,0,1
13,sweep_20260407_193626,indoors_1,panel_wall,2,5840,,,,0,1,0,1
14,sweep_20260407_193653,indoors_1,panel_wall,2,5840,,,,0,1,0,1
15,sweep_20260415_155649,indoors_2,none,0,none,,,,0,0,0,1
16,sweep_20260415_155729,indoors_2,none,0,none,,,,0,0,0,1
17,sweep_20260415_155804,indoors_2,none,0,none,,,,0,0,0,1
18,sweep_20260415_155832,indoors_2,none,0,none,,,,0,0,0,1
19,sweep_20260415_155926,indoors_2,none,0,none,,,,0,0,0,1
20,sweep_20260415_171049,indoors_2,none,1.5,3445,3447.3,3447.3,,1,0,0,1
21,sweep_20260415_171118,indoors_2,none,1.5,3445,3447.4 3467.7,3447.4,3467.7,1,0,1,1
22,sweep_20260415_171147,indoors_2,none,1.5,3445,3447.4 3452.1,3447.4 3452.1,,1,0,0,1
23,sweep_20260415_171214,indoors_2,none,1.5,3445,3447.3 3452.3,3447.3 3452.3,,1,0,0,1
24,sweep_20260415_171244,indoors_2,none,1.5,3445,3447.4 3452.0,3447.4 3452.0,,1,0,0,1
25,sweep_20260415_171311,indoors_2,none,1.5,3445,3447.4 3451.5,3447.4 3451.5,,1,0,0,1
26,sweep_20260415_174325,indoors_2,none,27,1240,1239.5,1239.5,,1,0,0,1
27,sweep_20260415_174353,indoors_2,none,27,1240,1238.9,1238.9,,1,0,0,1
28,sweep_20260415_174420,indoors_2,none,27,1240,1238.8,1238.8,,1,0,0,1
29,sweep_20260415_174446,indoors_2,none,27,1240,1239.9,1239.9,,1,0,0,1
30,sweep_20260415_174847,indoors_2,brick_walls,27,1240,,,,0,1,0,1
31,sweep_20260415_174914,indoors_2,brick_walls,27,1240,,,,0,1,0,1
32,sweep_20260415_174941,indoors_2,brick_walls,27,1240,1239.2,1239.2,,1,0,0,1
33,sweep_20260415_175007,indoors_2,brick_walls,27,1240,1239.7,1239.7,,1,0,0,1
34,sweep_20260422_135406,indoors_2,brick_walls,27,1240,1239.7,1239.7,,1,0,0,1
35,sweep_20260422_135420,indoors_2,brick_walls,27,1240,1239.7,1239.7,,1,0,0,1
36,sweep_20260422_135433,indoors_2,brick_walls,27,1240,1239.7,1239.7,,1,0,0,1
37,sweep_20260422_135447,indoors_2,brick_walls,27,1240,1239.5,1239.5,,1,0,0,1
38,sweep_20260422_135500,indoors_2,brick_walls,27,1240,1239.1,1239.1,,1,0,0,1
39,sweep_20260422_140505,indoors_2,movement,5-27,1240,1240.6 2479.5,1240.6,2479.5,1,0,1,1
40,sweep_20260422_140519,indoors_2,movement,5-27,1240,1239.7,1239.7,,1,0,0,1
41,sweep_20260422_140533,indoors_2,movement,5-27,1240,1238.9 2479.5,1238.9,2479.5,1,0,1,1
42,sweep_20260422_140549,indoors_2,movement,5-27,1240,1238.7,1238.7,,1,0,0,1
43,sweep_20260422_140603,indoors_2,movement,5-27,1240,1239.9,1239.9,,1,0,0,1
44,sweep_20260422_152927,indoors_2,none,3,1240,1239,1239,,1,0,0,1
45,sweep_20260422_152943,indoors_2,none,3,1240,1239.2,1239.2,,1,0,0,1
46,sweep_20260422_153008,indoors_2,none,3,1240,1239.6,1239.6,,1,0,0,1
47,sweep_20260422_153022,indoors_2,none,3,1240,1239.2,1239.2,,1,0,0,1
48,sweep_20260422_153055,indoors_2,none,3,1240,1239.5,1239.5,,1,0,0,1
